Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
330,David Neres,29,0.07,0.29,7,0.241,18.1,0,1294,2024-2025,27,br BRA,Napoli,it Serie A,28,FW,4f1e6a0b
331,Yeremi Pino,29,0.14,0.5,8,0.276,12.8,0,1958,2024-2025,21,es ESP,Villarreal,es La Liga,34,MFFW,540ec57b
332,Eldor Shomurodov,29,0.14,0.31,13,0.4479999999999999,11.9,0,1106,2024-2025,29,uz UZB,Roma,it Serie A,27,FWMF,57469b2d
333,Keinan Davis,29,0.07,0.18,11,0.379,12.7,0,1072,2024-2025,26,eng ENG,Udinese,it Serie A,23,FW,9deaf2c8
334,Kamaldeen Sulemana,29,0.03,0.13,8,0.276,18.6,0,1414,2024-2025,22,gh GHA,Southampton,eng Premier League,26,FWMF,a62f8bf1
335,Jack Harrison,29,0.03,0.14,7,0.241,16.2,0,2091,2024-2025,27,eng ENG,Everton,eng Premier League,34,FW,aa849a12
336,Yassine Kechta,29,0.07,0.22,9,0.31,25.7,2,2117,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,MFFW,abefc3af
337,Diego,29,0.1,0.33,9,0.31,14.1,0,1205,2024-2025,24,es ESP,Leganés,es La Liga,28,FW,b85a5126
338,Jeremy Doku,29,0.1,0.33,9,0.31,17.7,0,1526,2024-2025,22,be BEL,Manchester City,eng Premier League,29,FWMF,fffea3e5
339,Joshua Zirkzee,28,0.11,0.27,11,0.3929999999999999,13.1,0,1411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,FWMF,028e70b9
340,Cameron Archer,28,0.07,0.2,10,0.357,12.8,0,1454,2024-2025,23,eng ENG,Southampton,eng Premier League,35,FW,05e8ca6d
341,Takuma Asano,28,0.07,0.25,8,0.286,13.6,0,1067,2024-2025,29,jp JPN,Mallorca,es La Liga,21,FWMF,13ddc856
342,Ernest Nuamah,28,0.11,0.23,13,0.4639999999999999,17.3,0,1062,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,FWMF,234a703c
343,Akor Adams,28,0.11,0.23,13,0.4639999999999999,13.9,0,1215,2024-2025,24,ng NGA,2 Teams,2 Comps,19,FW,2ccd39ed
344,Jesper Lindstrøm,28,0.0,0.0,10,0.357,21.0,6,1251,2024-2025,24,dk DEN,Everton,eng Premier League,25,FW,37dc1a48
345,Leon Bailey,28,0.04,0.17,6,0.214,17.3,2,1150,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,FWMF,3a233281
346,Milan Đurić,28,0.18,0.45,11,0.3929999999999999,11.9,0,1545,2024-2025,34,ba BIH,2 Teams,it Serie A,27,FW,405f6586
347,Brahim Díaz,28,0.14,0.27,15,0.536,12.6,0,1395,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,FWMF,407feb71
348,Keane Lewis-Potter,28,0.04,0.07,14,0.5,20.2,1,3102,2024-2025,23,eng ENG,Brentford,eng Premier League,38,DFFW,41f08ac8
349,Alieu Fadera,28,0.04,0.11,9,0.321,18.6,0,1656,2024-2025,22,gm GAM,Como,it Serie A,28,FWDF,53210e42
350,Gianluca Caprari,28,0.04,0.11,9,0.321,22.0,2,1666,2024-2025,31,it ITA,Monza,it Serie A,34,MFFW,54e53b7e
351,Tyler Dibling,28,0.07,0.22,9,0.321,19.3,0,1884,2024-2025,18,eng ENG,Southampton,eng Premier League,33,FWMF,bdcc89ae
352,Sebastian Nanasi,28,0.21,0.5,12,0.429,12.4,1,2129,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,MFFW,ce747d2a
