Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
222,Marius Bülter,7,4,0,2,0,1,0,1742,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,FWDF,ab5b7dc1
223,Raúl Jiménez,7,4,0,0,1,1,1,2515,2024-2025,33,mx MEX,Fulham,eng Premier League,38,FW,b561db50
224,Isaac Romero,7,4,0,1,2,0,0,2174,2024-2025,24,es ESP,Sevilla,es La Liga,31,FW,be719093
225,Abde Ezzalzouli,7,4,0,0,2,1,0,2004,2024-2025,22,ma MAR,Betis,es La Liga,32,FWMF,bed68338
226,Fermin López,7,7,0,0,0,0,0,1258,2024-2025,21,es ESP,Barcelona,es La Liga,28,MFFW,c1fe5f0b
227,Zakaria Aboukhlal,7,3,0,1,0,3,0,1914,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,MFFW,c2a6033c
228,Paul Wanner,7,5,0,0,2,0,0,1786,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,MFFW,cb64672e
229,Yaser Asprilla,7,5,2,0,0,0,0,1414,2024-2025,20,co COL,Girona,es La Liga,27,FWMF,d139daf9
230,Keito Nakamura,7,4,0,1,2,0,0,2663,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,FWMF,d97af612
231,Liam Delap,7,3,0,2,0,2,0,2622,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,FW,dd897ee7
232,Alexander Bernhardsson,7,2,0,2,1,1,1,1274,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,FWMF,dea1d183
233,Hákon Arnar Haraldsson,7,5,1,0,1,0,0,1769,2024-2025,21,is ISL,Lille,fr Ligue 1,25,MFFW,e2ae54db
234,Patrick Dorgu,7,5,0,0,1,1,0,1841,2024-2025,19,dk DEN,Lecce,it Serie A,21,DFFW,e6536124
235,Ermedin Demirović,7,4,0,0,2,1,0,1869,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,FW,ed79b7d3
236,Nathan Tella,7,6,0,1,0,0,0,1373,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,MFFW,f1e94cd6
237,Bilal El Khannouss,7,5,1,0,1,0,0,2201,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,MFFW,f7042636
