Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
147,Noah Weißhaupt,15,19,44.1,1240,2024-2025,22,de GER,2 Teams,de Bundesliga,22,FWMF,dd676a97
148,Samuel Essende,57,73,43.8,1636,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,FW,821550ce
149,Joel Pohjanpalo,46,59,43.8,1603,2024-2025,29,fi FIN,Venezia,it Serie A,20,FW,ea003d07
150,Keane Lewis-Potter,27,35,43.5,3093,2024-2025,23,eng ENG,Brentford,eng Premier League,38,DFFW,41f08ac8
151,Pep Chavarría,23,30,43.4,2585,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,DFFW,63c5e56b
152,Dominic Solanke,46,60,43.4,2201,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,FW,e77dc3b2
153,Cyle Larin,66,86,43.4,1764,2024-2025,29,ca CAN,Mallorca,es La Liga,32,FW,e7af9060
154,Fares Chaïbi,16,21,43.2,1013,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,MFFW,357103bd
155,Rubén García,28,37,43.1,2413,2024-2025,31,es ESP,Osasuna,es La Liga,36,FWMF,5c96b017
156,Nick Woltemade,47,62,43.1,1622,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,FWMF,7ca196eb
157,Gerrit Holtmann,12,16,42.9,1136,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,DFFW,2979c05a
158,Yeremi Pino,12,16,42.9,1934,2024-2025,21,es ESP,Villarreal,es La Liga,34,MFFW,540ec57b
159,Romelu Lukaku,42,56,42.9,2843,2024-2025,31,be BEL,Napoli,it Serie A,36,FW,5eae500a
160,Habib Diarra,12,16,42.9,2352,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,MFFW,6d0fe035
161,Sandro Ramírez,12,16,42.9,2034,2024-2025,29,es ESP,Las Palmas,es La Liga,31,FWMF,833fb62e
162,Franck Honorat,9,12,42.9,1439,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,FW,db7849ca
163,Mateo Retegui,51,68,42.9,2383,2024-2025,25,it ITA,Atalanta,it Serie A,36,FW,e7695e6c
