,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Touches,Touches,Touches,Touches,Touches,Touches,Touches,,-additional
Rk,Player,Touches,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-9999
421,Roberto Férnandez,436,1497,2024-2025,22,es ESP,Espanyol,es La Liga,19,1497,16.6,18,1,0,6,0,6,6,0,0,0,436,26,70,222,151,37,436,FW,c981fc98
422,Mamadou Sylla,431,1583,2024-2025,30,sn SEN,Valladolid,es La Liga,29,1583,17.6,17,12,6,5,1,6,1,4,4,0,431,14,44,226,163,37,427,FWMF,e5ec95f8
423,Matias Fernandez-Pardo,429,1065,2024-2025,19,be BEL,Lille,fr Ligue 1,22,1065,11.8,12,10,3,4,2,6,4,0,0,0,429,7,38,137,267,51,429,FWMF,0cdb6a2a
424,Shavy Babicka,428,1186,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,1186,13.2,11,19,2,4,2,6,4,0,0,0,428,4,46,145,252,53,428,MFFW,c6f0d5d4
425,Frank Magri,420,1516,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,1516,16.8,17,14,0,5,1,6,5,0,0,0,420,10,32,213,178,70,420,FWMF,42fdb11d
426,Jordan Pefok,416,1288,2024-2025,28,us USA,2 Teams,2 Comps,25,1288,14.3,16,9,2,1,1,2,1,0,0,0,416,29,73,194,157,60,416,FW,b684a484
427,Yann Karamoh,412,1046,2024-2025,26,fr FRA,Torino,it Serie A,29,1046,11.6,10,19,7,0,1,1,0,0,0,0,412,8,49,161,205,49,412,MFFW,8b66d9cc
428,Eddie Nketiah,412,1034,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,1034,11.5,9,20,4,3,1,4,3,0,0,0,412,11,47,176,198,67,412,FW,a53649b7
429,Keinan Davis,404,1066,2024-2025,26,eng ENG,Udinese,it Serie A,23,1066,11.8,10,13,2,2,1,3,2,0,0,0,404,5,19,195,194,67,404,FW,9deaf2c8
430,Giorgos Masouras,403,1055,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,1055,11.7,12,2,0,2,1,3,2,0,0,0,403,7,54,156,202,53,403,FWMF,9d689a5b
431,Toni Martínez,401,1012,2024-2025,27,es ESP,Alavés,es La Liga,28,1012,11.2,9,19,8,4,0,4,4,0,0,0,401,15,34,171,203,70,401,FW,f3945e07
432,Victor Boniface,400,1008,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,1008,11.2,12,7,5,8,1,9,8,0,1,1,400,5,24,163,215,77,399,FW,b146275b
433,Cameron Archer,398,1441,2024-2025,23,eng ENG,Southampton,eng Premier League,35,1441,16.0,13,22,2,2,0,2,2,0,1,1,398,16,69,179,154,52,397,FW,05e8ca6d
434,Sergio Camello,398,1134,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,1134,12.6,14,9,2,3,2,5,3,0,0,0,398,17,39,173,196,46,398,FW,873619c6
435,Abel Ruiz,391,1346,2024-2025,24,es ESP,Girona,es La Liga,23,1346,15.0,17,6,4,4,0,4,3,1,2,1,391,11,28,188,177,59,389,FW,6cbf8d0d
436,Juanmi Latasa,390,1398,2024-2025,23,es ESP,Valladolid,es La Liga,28,1398,15.5,14,14,3,3,0,3,3,0,0,0,390,16,28,202,163,74,390,FW,2bea832e
437,Neal Maupay,386,1042,2024-2025,27,fr FRA,2 Teams,2 Comps,22,1042,11.6,13,9,11,4,4,8,4,0,0,0,386,2,20,198,174,48,386,FWMF,4bcf39f6
438,Umar Sadiq,386,1052,2024-2025,27,ng NGA,2 Teams,es La Liga,23,1052,11.7,11,12,13,5,0,5,5,0,0,0,386,9,34,163,196,57,386,FW,686cbe7d
439,Álvaro Morata,383,1099,2024-2025,31,es ESP,Milan,it Serie A,16,1099,12.2,13,3,0,5,0,5,5,0,0,0,383,6,34,180,170,61,383,FWMF,129af0db
440,Mika Biereth,382,1228,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,1228,13.6,16,0,1,13,2,15,12,1,2,1,382,4,15,125,243,98,380,FW,a1d95db3
441,André Ayew,378,1453,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,1453,16.1,15,12,0,4,1,5,4,0,0,0,378,21,44,207,134,40,378,FW,5dbefa9d
442,Antonio Sanabria,377,1318,2024-2025,28,py PAR,Torino,it Serie A,26,1318,14.6,16,10,10,2,1,3,2,0,1,1,377,16,43,199,140,34,376,FW,0a447501
443,Adam Armstrong,377,1248,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1248,13.9,15,5,4,2,2,4,2,0,1,1,377,11,44,143,192,49,376,FWMF,68c720b5
444,Anastasios Douvikas,374,1280,2024-2025,24,gr GRE,2 Teams,2 Comps,33,1280,14.2,12,21,3,5,3,8,5,0,0,0,374,14,31,157,193,66,374,FW,853ca71c
445,Marcos André,372,1188,2024-2025,27,br BRA,Valladolid,es La Liga,22,1188,13.2,14,8,13,1,2,3,1,0,0,0,372,13,46,208,128,32,372,FW,ae86d473
446,Tammy Abraham,371,1184,2024-2025,26,eng ENG,2 Teams,it Serie A,29,1184,13.2,12,17,7,3,4,7,2,1,2,1,371,20,46,174,151,58,369,FW,f586779e
447,Antoniu,369,1022,2024-2025,21,es ESP,Espanyol,es La Liga,26,1022,11.4,13,13,9,0,1,1,0,0,0,0,369,10,74,150,158,20,369,FWMF,af784a9e
448,Darwin Núñez,366,1133,2024-2025,25,uy URU,Liverpool,eng Premier League,30,1133,12.6,8,22,5,5,2,7,5,0,0,0,366,10,45,122,210,74,366,FW,4d77b365
449,Borja Mayoral,366,1114,2024-2025,27,es ESP,Getafe,es La Liga,24,1114,12.4,7,17,1,5,1,6,4,1,1,0,366,9,27,174,171,40,365,FW,64e8ed6d
450,Randy Nteka,366,1129,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,1129,12.5,16,8,9,3,0,3,3,0,0,0,366,24,45,148,175,40,366,FW,a6103274
451,Vitor Roque,365,1235,2024-2025,19,br BRA,Betis,es La Liga,22,1235,13.7,14,8,0,4,0,4,4,0,0,0,365,3,27,167,179,57,365,FW,cb00f1e6
452,Marshall Munetsi,364,1078,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,1078,12.0,12,2,0,2,1,3,2,0,0,0,364,21,58,182,128,36,364,MFFW,2acf0cd7
453,Takuma Asano,356,1054,2024-2025,29,jp JPN,Mallorca,es La Liga,21,1054,11.7,13,8,2,2,1,3,2,0,0,0,356,8,53,141,169,53,356,FWMF,13ddc856
454,Gonçalo Ramos,353,1066,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1066,11.8,12,10,0,10,3,13,8,2,3,1,353,6,27,108,220,97,350,FW,f63cda26
455,Bertuğ Yıldırım,323,1083,2024-2025,22,tr TUR,Getafe,es La Liga,22,1083,12.0,14,8,12,1,0,1,1,0,0,0,323,21,32,145,150,46,323,FW,7410d325
456,Diego,322,1195,2024-2025,24,es ESP,Leganés,es La Liga,28,1195,13.3,13,15,6,3,0,3,3,0,0,0,322,11,20,135,171,44,322,FW,b85a5126
457,Alejo Véliz,317,1127,2024-2025,20,ar ARG,Espanyol,es La Liga,27,1127,12.5,10,17,11,1,0,1,1,0,0,0,317,25,35,189,93,30,317,FW,3f7bafbe
458,Myron Boadu,287,1042,2024-2025,23,nl NED,Bochum,de Bundesliga,19,1042,11.6,11,8,3,9,1,10,8,1,1,0,287,7,19,123,150,46,286,FW,5b479568
459,Akor Adams,285,1209,2024-2025,24,ng NGA,2 Teams,2 Comps,19,1209,13.4,14,5,1,3,1,4,3,0,0,0,285,6,23,136,129,50,285,FW,2ccd39ed
460,Cristhian Stuani,256,1078,2024-2025,37,uy URU,Girona,es La Liga,32,1078,12.0,6,26,6,11,2,13,8,3,3,0,256,10,32,107,118,55,253,FW,220c11f1
