,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,GCA,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Pos,-9999
425,Roberto Navarro,2,1293,2024-2025,22,es ESP,Mallorca,es La Liga,23,1293,14.4,15,8,2,1,0,1,1,0,0,0,2,2,0,0,0,0,0,MFFW,c997b942
426,Morten Thorsby,2,1911,2024-2025,28,no NOR,Genoa,it Serie A,30,1911,21.2,22,8,2,0,1,1,0,0,0,0,2,2,0,0,0,0,0,MFFW,d1b49282
427,Arthur Atta,2,1259,2024-2025,21,fr FRA,Udinese,it Serie A,27,1259,14.0,12,15,3,0,1,1,0,0,0,0,2,0,0,0,2,0,0,MFFW,d3ddf88b
428,Jordan Ayew,2,1674,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,1674,18.6,19,12,6,5,0,5,4,1,1,0,2,1,0,0,1,0,0,FWMF,da052c14
429,Adri Embarba,2,1624,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1624,18.0,18,17,3,1,1,2,1,0,0,0,2,2,0,0,0,0,0,FWMF,db8f0eba
430,Santiago Pierotti,2,1952,2024-2025,23,ar ARG,Lecce,it Serie A,36,1952,21.7,22,14,1,4,2,6,4,0,0,0,2,2,0,0,0,0,0,FW,ec315772
431,Marvin,2,1042,2024-2025,24,es ESP,Las Palmas,es La Liga,23,1042,11.6,9,14,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,DFFW,efaefda0
432,Ramón Terrats,2,1361,2024-2025,23,es ESP,2 Teams,es La Liga,26,1361,15.1,16,10,5,4,1,5,4,0,0,0,2,2,0,0,0,0,0,MFFW,f36016a5
433,Carlos Soler,2,1419,2024-2025,27,es ESP,West Ham,eng Premier League,31,1419,15.8,14,17,2,1,1,2,1,0,0,0,2,2,0,0,0,0,0,MFFW,fed17f5a
434,Marshall Munetsi,1,1080,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,1080,12.0,12,2,0,2,1,3,2,0,0,0,1,1,0,0,0,0,0,MFFW,2acf0cd7
435,Aleksandr Golovin,1,1159,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,1159,12.9,13,6,2,3,0,3,3,0,0,0,1,1,0,0,0,0,0,MFFW,3708e9fa
436,Jesper Lindstrøm,1,1251,2024-2025,24,dk DEN,Everton,eng Premier League,25,1251,13.9,15,10,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,FW,37dc1a48
437,Alessandro Zanoli,1,1727,2024-2025,23,it ITA,Genoa,it Serie A,31,1727,19.2,19,12,4,1,0,1,1,0,0,0,1,1,0,0,0,0,0,FWDF,3b12b11f
438,Rasmus Højlund,1,2020,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,2020,22.4,23,9,2,4,0,4,4,0,0,0,1,0,0,0,0,1,0,FW,491a433d
439,André Ayew,1,1463,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,1463,16.3,15,12,0,4,1,5,4,0,0,0,1,1,0,0,0,0,0,FW,5dbefa9d
440,Gorka Guruzeta,1,1856,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1856,20.6,21,15,1,7,2,9,7,0,0,0,1,1,0,0,0,0,0,FW,6b5ea2f4
441,Abel Ruiz,1,1362,2024-2025,24,es ESP,Girona,es La Liga,23,1362,15.1,17,6,4,4,0,4,3,1,2,1,1,0,0,0,1,0,0,FW,6cbf8d0d
442,Bertuğ Yıldırım,1,1093,2024-2025,22,tr TUR,Getafe,es La Liga,22,1093,12.1,14,8,12,1,0,1,1,0,0,0,1,0,0,0,0,1,0,FW,7410d325
443,Adrià Altimira,1,1638,2024-2025,23,es ESP,Leganés,es La Liga,22,1638,18.2,19,3,14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,DFFW,757a3431
444,Esteban Lepaul,1,1638,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,1638,18.2,18,10,4,9,0,9,9,0,0,0,1,1,0,0,0,0,0,FW,85ce1949
445,Sheraldo Becker,1,1003,2024-2025,29,sr SUR,Real Sociedad,es La Liga,22,1003,11.1,11,11,4,2,1,3,2,0,0,0,1,1,0,0,0,0,0,FWMF,8eb55dbb
446,Carles Pérez,1,1440,2024-2025,26,es ESP,Getafe,es La Liga,27,1440,16.0,15,12,11,3,0,3,3,0,0,0,1,0,0,0,0,0,1,MFFW,a8f21b9f
447,Marcos André,1,1200,2024-2025,27,br BRA,Valladolid,es La Liga,22,1200,13.3,14,8,13,1,2,3,1,0,0,0,1,1,0,0,0,0,0,FW,ae86d473
448,Antoniu,1,1033,2024-2025,21,es ESP,Espanyol,es La Liga,26,1033,11.5,13,13,9,0,1,1,0,0,0,0,1,1,0,0,0,0,0,FWMF,af784a9e
449,Diego,1,1205,2024-2025,24,es ESP,Leganés,es La Liga,28,1205,13.4,13,15,6,3,0,3,3,0,0,0,1,0,0,0,0,1,0,FW,b85a5126
450,Paul Onuachu,1,1056,2024-2025,30,ng NGA,Southampton,eng Premier League,25,1056,11.7,11,14,3,4,1,5,4,0,0,0,1,1,0,0,0,0,0,FW,c06d1086
451,Noah Weißhaupt,1,1252,2024-2025,22,de GER,2 Teams,de Bundesliga,22,1252,13.9,13,9,8,1,0,1,1,0,0,0,1,1,0,0,0,0,0,FWMF,dd676a97
452,Beto,1,1543,2024-2025,26,gw GNB,Everton,eng Premier League,30,1543,17.1,15,15,8,8,0,8,8,0,0,0,1,1,0,0,0,0,0,FW,ed5c0319
453,Toni Martínez,1,1019,2024-2025,27,es ESP,Alavés,es La Liga,28,1019,11.3,9,19,8,4,0,4,4,0,0,0,1,0,0,0,1,0,0,FW,f3945e07
454,Khalil Fayad,1,1034,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,1034,11.5,10,10,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MFFW,faf00ab8
455,Cameron Archer,0,1454,2024-2025,23,eng ENG,Southampton,eng Premier League,35,1454,16.2,13,22,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,FW,05e8ca6d
456,Nicolás Domínguez,0,1981,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,1981,22.0,23,11,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,MFFW,20b3a502
457,Juanmi Latasa,0,1404,2024-2025,23,es ESP,Valladolid,es La Liga,28,1404,15.6,14,14,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,FW,2bea832e
458,Sammie Szmodics,0,1005,2024-2025,28,ie IRL,Ipswich Town,eng Premier League,20,1005,11.2,13,7,2,4,0,4,4,0,0,0,0,0,0,0,0,0,0,FWMF,39944392
459,Christian Kouamé,0,1135,2024-2025,26,ci CIV,2 Teams,it Serie A,26,1135,12.6,10,16,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,FWMF,58e933d2
460,Randy Nteka,0,1144,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,1144,12.7,16,8,9,3,0,3,3,0,0,0,0,0,0,0,0,0,0,FW,a6103274
461,Jordan Pefok,0,1299,2024-2025,28,us USA,2 Teams,2 Comps,25,1299,14.4,16,9,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,FW,b684a484
462,Adama Boiro,0,1109,2024-2025,22,es ESP,Athletic Club,es La Liga,18,1109,12.3,13,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DFFW,e7992f7b
463,Arnaut Danjuma,0,1547,2024-2025,27,nl NED,2 Teams,es La Liga,28,1547,17.2,18,10,5,4,0,4,4,0,0,0,0,0,0,0,0,0,0,FW,f08490a6
