,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
137,Gavi,44.7,1085,2024-2025,19,es ESP,Barcelona,es La Liga,26,1085,12.1,14,12,3,1,1,2,1,0,0,0,21,26,44.7,MFFW,19cae58d
138,Kai Havertz,44.7,1875,2024-2025,25,de GER,Arsenal,eng Premier League,23,1875,20.8,21,2,1,9,3,12,9,0,0,0,63,78,44.7,FWMF,fed7cb61
139,Randy Nteka,44.6,1129,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,1129,12.5,16,8,9,3,0,3,3,0,0,0,41,51,44.6,FW,a6103274
140,Santiago Pierotti,44.5,1937,2024-2025,23,ar ARG,Lecce,it Serie A,36,1937,21.5,22,14,1,4,2,6,4,0,0,0,49,61,44.5,FW,ec315772
141,Désiré Doué,44.4,1730,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,1730,19.2,18,13,1,6,6,12,6,0,0,0,8,10,44.4,FWMF,9e7483ff
142,Timothy Weah,44.2,1638,2024-2025,24,us USA,Juventus,it Serie A,30,1638,18.2,18,12,2,5,2,7,5,0,0,0,19,24,44.2,DFFW,8eec784d
143,Bilal El Khannouss,44.2,2182,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,2182,24.2,27,5,3,2,3,5,2,0,0,0,19,24,44.2,MFFW,f7042636
144,Marcus Tavernier,44.1,1939,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,1939,21.5,20,9,0,3,5,8,3,0,0,0,26,33,44.1,FWMF,5c0da4a4
145,Carlos Martín,44.1,1333,2024-2025,22,es ESP,Alavés,es La Liga,26,1333,14.8,16,10,10,2,2,4,2,0,0,0,15,19,44.1,FWMF,64035864
146,Juan Cruz,44.1,2257,2024-2025,24,es ESP,Leganés,es La Liga,34,2257,25.1,26,8,4,5,4,9,5,0,0,0,15,19,44.1,FWMF,cc2dd8a5
147,Noah Weißhaupt,44.1,1240,2024-2025,22,de GER,2 Teams,de Bundesliga,22,1240,13.8,13,9,8,1,0,1,1,0,0,0,15,19,44.1,FWMF,dd676a97
